name,platform,release year,genre,publisher,north america sales,europe sales,japan sales,rest of world sales,global_sales,release_date,critic_score,critic outof,critic count,user score,user count,developer,rating
Wii Sports,Wii,2006,Sports,Nintendo,41.02,28.66,3.77,8.39,81.84,"Nov 19, 2006",76,100,51,8.2,229,Nintendo,E
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.07,12.36,3.71,3.19,34.33,"Apr 27, 2008",82,100,73,8.2,503,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.38,10.71,3.25,2.89,32.24,"Jul 26, 2009",80,100,73,7.7,132,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,13.89,9.14,2.93,2.83,28.79,"Feb 12, 2007",58,100,41,6.5,103,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,13.85,6.57,4.69,2.14,27.25,"Nov 15, 2009",87,100,80,8.3,446,Nintendo,E
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.60,2.14,22.69,"May 19, 2008",80,100,63,7.7,135,Nintendo,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,8.91,8.25,2.53,1.75,21.43,"Oct  4, 2009",80,100,33,7.3,40,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.41,4.69,0.24,1.59,20.92,"Nov  4, 2010",61,100,45,6.2,82,Good Science Studio,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,5.67,7.23,0.68,3.14,16.71,"Sep 17, 2013",97,100,50,8.2,2586,Rockstar North,M
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,8.67,4.09,0.13,1.27,14.16,"Nov  8, 2011",88,100,81,3.3,8457,"Infinity Ward, Sledgehammer Games",M
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.26,3.53,0.11,1.07,13.97,"Nov  9, 2010",87,100,89,6.0,1267,Treyarch,M
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,7.79,4.39,0.04,1.10,13.33,"Sep 17, 2013",97,100,58,8.1,2714,Rockstar North,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.36,3.48,0.08,1.26,13.17,"Nov 10, 2009",94,100,100,6.1,2456,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.35,5.45,0.49,1.45,12.74,"Nov  8, 2011",88,100,39,3.1,5037,"Infinity Ward, Sledgehammer Games",M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,7.71,3.96,0.05,0.86,12.57,"Nov 13, 2012",83,100,73,4.5,1975,Treyarch,M
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.77,4.14,0.48,1.68,12.08,"Nov  9, 2010",88,100,58,6.0,850,Treyarch,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.20,2.35,2.57,0.94,12.05,"Mar  9, 2008",93,100,81,8.9,1330,Game Arts,T
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.79,2.76,0.13,1.18,11.87,"Sep 25, 2007",94,100,86,7.7,3523,Bungie Software,M
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.63,5.06,0.53,0.83,11.06,"Nov 13, 2012",83,100,21,4.8,731,Treyarch,M
Super Mario Galaxy,Wii,2007,Platform,Nintendo,5.90,3.21,1.20,0.71,11.03,"Nov 12, 2007",97,100,73,8.9,1551,Nintendo,E
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.80,4.66,0.81,2.60,10.86,"Nov 24, 2010",84,100,82,7.5,962,Polyphony Digital,E
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.50,3.01,0.14,0.99,10.63,"Apr 29, 2008",98,100,86,7.9,2565,Rockstar North,M
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.89,3.49,0.38,1.54,10.31,"Nov 10, 2009",94,100,67,6.0,1749,Infinity Ward,M
Pokémon X/Y,3DS,2013,Role-Playing,Nintendo,3.45,2.25,4.04,0.53,10.27,,,,,,,,
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.58,3.54,0.43,1.51,10.05,"Apr 29, 2008",98,100,64,7.4,2120,Rockstar North,M
Just Dance 3,Wii,2011,Misc,Ubisoft,5.80,3.04,0.00,1.04,9.87,"Oct  7, 2011",74,100,15,7.6,12,Ubisoft,E10+
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,6.82,1.87,0.08,0.75,9.52,"Sep 14, 2010",91,100,99,7.7,1606,Bungie Software,M
Just Dance 2,Wii,2010,Misc,Ubisoft,5.73,2.80,0.01,0.77,9.31,"Oct 12, 2010",74,100,24,7.0,20,Ubisoft,E10+
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.23,2.39,2.00,0.66,9.28,"Nov 13, 2011",90,100,82,8.2,576,Nintendo,E
Mario Kart 7,3DS,2011,Racing,Nintendo,3.60,2.72,2.27,0.65,9.25,"Dec  4, 2011",85,100,73,8.3,377,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.74,2.30,0.13,0.87,9.03,"Nov  5, 2007",94,100,70,8.4,1089,Infinity Ward,M
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.18,2.04,0.04,0.68,8.94,"Nov  6, 2012",87,100,87,6.9,2605,343 Industries,M
Wii Party,Wii,2010,Misc,Nintendo,1.71,3.29,2.48,0.66,8.14,"Oct  3, 2010",68,100,42,7.6,34,Nd Cube,E
Call of Duty: Ghosts,X360,2013,Shooter,Activision,5.36,2.08,0.03,0.62,8.08,"Nov  5, 2013",73,100,29,2.3,1730,Infinity Ward,M
Mario Party 8,Wii,2007,Misc,Nintendo,3.70,2.07,1.58,0.69,8.05,"May 29, 2007",62,100,41,6.3,140,Hudson,E
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.56,3.80,0.66,0.90,7.91,,,,,,,,
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,4.40,2.55,0.10,0.76,7.80,"Nov 11, 2011",96,100,89,8.4,2938,Bethesda Game Studios,M
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.87,2.75,0.24,1.71,7.57,"Oct 24, 2005",88,100,65,7.5,390,Rockstar Leeds,M
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,3.06,2.68,0.36,1.22,7.32,"Nov  5, 2013",71,100,10,2.1,825,Infinity Ward,M
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,2.63,1.98,2.26,0.41,7.28,"Aug 19, 2012",78,100,70,7.1,247,Nintendo,E
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.45,2.16,0.98,0.60,7.18,"May 23, 2010",97,100,88,9.1,1372,Nintendo EAD Tokyo,E
FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.00,4.84,0.12,1.16,7.13,"Sep 25, 2012",88,100,37,6.4,278,Electronic Arts,E
Battlefield 3,X360,2011,Shooter,Electronic Arts,4.33,2.04,0.06,0.67,7.11,"Oct 25, 2011",84,100,57,7.4,2054,EA DICE,M
Just Dance,Wii,2009,Misc,Ubisoft,3.42,2.93,0.00,0.72,7.07,"Nov 17, 2009",49,100,21,8.0,108,Ubisoft Paris,E10+
Call of Duty: World at War,X360,2008,Shooter,Activision,4.58,1.81,0.00,0.66,7.05,"Nov 10, 2008",84,100,84,7.4,470,Treyarch,M
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.65,2.01,0.60,0.67,6.92,"Nov 19, 2006",95,100,73,9.0,1250,Nintendo,T
Just Dance 4,Wii,2012,Misc,Ubisoft,3.91,2.03,0.00,0.89,6.83,"Oct  9, 2012",74,100,10,6.8,22,Ubisoft,E10+
Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.73,2.75,0.34,0.98,6.81,"Oct 25, 2011",85,100,38,7.4,1617,EA DICE,M
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.09,1.88,0.06,0.63,6.66,"Nov  7, 2008",93,100,90,7.6,2442,Epic Games,M
Zumba Fitness,Wii,2010,Sports,505 Games,3.38,2.49,0.00,0.66,6.53,"Nov 18, 2010",,,,tbd,,"Pipeworks Software, Inc.",E
FIFA Soccer 12,PS3,2011,Sports,Electronic Arts,0.80,4.22,0.11,1.35,6.48,"Sep 27, 2011",90,100,44,7.2,284,Electronic Arts,E
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,2.98,2.17,0.28,0.98,6.41,"Nov  5, 2007",94,100,44,8.4,769,Infinity Ward,M
Animal Crossing: New Leaf,3DS,2012,Action,Nintendo,1.19,1.16,3.79,0.24,6.37,"Jun  9, 2013",88,100,70,8.6,367,Nintendo,E
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.15,2.06,0.21,0.92,6.34,"Oct 13, 2009",96,100,105,8.7,3781,Naughty Dog,T
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.61,2.55,0.19,0.92,6.26,"Nov  1, 2011",92,100,97,8.3,2659,Naughty Dog,T
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.25,1.31,0.06,0.60,6.22,"Sep 22, 2009",83,100,94,7.1,944,Bungie Software,M
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.02,1.62,1.03,0.43,6.10,"Nov 21, 2010",87,100,77,8.5,260,Retro Studios,E
Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.51,1.86,0.07,0.60,6.03,"Nov  7, 2006",94,100,88,8.3,1953,Epic Games,M
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,3.91,1.52,0.07,0.47,5.98,"Sep 20, 2011",91,100,96,7.6,1200,Epic Games,M
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.47,1.81,0.09,0.54,5.90,"May 18, 2010",95,100,96,9.0,1785,Rockstar San Diego,M
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.58,2.26,0.17,0.86,5.87,"May 18, 2010",95,100,73,8.7,1668,Rockstar San Diego,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.58,1.65,0.83,0.79,5.85,"Jun 12, 2008",94,100,82,8.7,2923,Kojima Productions,M
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.68,1.61,0.03,0.47,5.79,"Nov  4, 2010",73,100,51,7.4,78,Rare Ltd.,E10+
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.37,2.25,0.15,0.68,5.45,"Oct 30, 2012",85,100,41,6.9,1010,Ubisoft,M
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.44,0.52,4.13,0.32,5.41,"Jun 22, 2009",81,100,48,8.8,93,Capcom,T
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.68,1.74,0.17,0.80,5.40,"Oct 27, 2008",95,100,85,6.7,4978,"Media Molecule, SCE/WWS",E
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.94,1.86,0.10,0.50,5.39,"Oct 27, 2009",92,100,90,7.9,436,Turn 10,E
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.17,1.61,0.07,0.54,5.39,"Nov 13, 2007",81,100,77,7.8,844,Ubisoft Montreal,M
FIFA Soccer 14,PS3,2013,Sports,Electronic Arts,0.55,3.39,0.06,1.35,5.35,,,,,,,,
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.07,2.20,0.25,0.78,5.29,"Nov 11, 2011",92,100,16,6.0,2045,Bethesda Game Studios,M
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.39,1.39,0.00,0.48,5.26,"Nov  6, 2007",80,100,17,8.8,46,Traveller's Tales,E10+
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.41,1.85,0.21,0.79,5.26,"Nov 17, 2009",91,100,70,8.5,824,Ubisoft Montreal,M
Call of Duty: World at War,PS3,2008,Shooter,Activision,2.58,1.76,0.00,0.78,5.11,"Nov 10, 2008",85,100,45,7.3,289,Treyarch,M
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.64,1.13,1.87,0.46,5.10,"Mar  9, 2010",83,100,83,7.6,1961,Square Enix,T
Assassin's Creed II,X360,2009,Action,Ubisoft,2.99,1.49,0.08,0.50,5.07,"Nov 17, 2009",90,100,82,8.8,914,Ubisoft Montreal,M
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.03,3.41,0.03,0.57,5.03,"Sep 25, 2012",90,100,48,6.0,355,Electronic Arts,E
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.58,3.25,0.06,1.10,5.00,"Sep 28, 2010",89,100,51,8.1,197,EA Sports,E
Resident Evil 5,PS3,2009,Action,Capcom,1.90,1.36,1.08,0.61,4.94,"Mar 13, 2009",84,100,76,7.5,458,Capcom,M
Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.04,1.15,0.29,0.46,4.94,"Nov 19, 2007",68,100,34,7.4,37,Nintendo,T
Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.49,1.03,0.05,0.36,4.93,"Oct 26, 2010",80,100,88,6.6,474,Lionhead Studios,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.67,1.92,0.16,1.16,4.92,"Oct 31, 2006",86,100,50,8.0,93,Rockstar Leeds,M
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.00,0.00,4.87,0.00,4.87,,,,,,,,
Assassin's Creed III,X360,2012,Action,Ubisoft,2.81,1.57,0.03,0.40,4.81,"Oct 30, 2012",84,100,61,6.7,1008,Ubisoft,M
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.38,1.68,0.11,0.64,4.81,"Oct 18, 2011",96,100,42,8.5,1417,Rocksteady Studios,T
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.20,1.66,0.12,0.72,4.70,"Nov 16, 2007",88,100,66,8.2,1439,"Naughty Dog, SCE/WWS",T
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.85,1.94,0.09,0.79,4.66,"Nov 13, 2007",81,100,40,7.4,552,Ubisoft Montreal,M
God of War III,PS3,2010,Action,Sony Computer Entertainment,2.69,1.26,0.12,0.58,4.64,"Mar 16, 2010",92,100,101,8.7,2085,SCE Santa Monica,M
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.02,1.10,0.00,0.43,4.56,"Oct 26, 2008",86,100,36,8.3,78,Vicarious Visions,T
Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.78,1.07,1.32,0.36,4.52,"Nov 16, 2008",73,100,50,7.8,93,Nintendo,E
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.86,1.89,0.22,0.47,4.44,,,,,,,,
Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.12,0.90,0.01,0.41,4.43,"Oct 28, 2007",85,100,69,7.7,131,Neversoft Entertainment,T
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.72,1.18,0.04,0.37,4.32,"Oct 18, 2011",94,100,87,8.6,1194,Rocksteady Studios,T
The Last of Us,PS3,2013,Adventure,Sony Computer Entertainment Europe,1.73,1.60,0.23,0.72,4.28,"Jun 14, 2013",95,100,98,9.1,5223,Naughty Dog,M
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,2.88,0.92,0.09,0.38,4.27,"Oct 28, 2008",93,100,84,8.6,1305,Bethesda Game Studios,M
Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.60,1.28,0.01,0.38,4.27,"Nov 23, 2010",56,100,37,7.8,23,"Ubisoft Montpellier, Ubisoft Paris",E10+
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.67,1.69,0.14,0.72,4.22,"Nov 14, 2006",86,100,70,8.1,604,Insomniac Games,M
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.46,1.19,0.11,0.40,4.16,"Oct 21, 2008",89,100,95,6.4,2260,Lionhead Studios,M
Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,1.86,1.81,0.06,0.43,4.16,"Oct 11, 2011",91,100,83,8.1,491,Turn 10,E
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.26,1.81,0.57,0.52,4.15,"Apr 15, 2008",80,100,67,7.2,104,Polyphony Digital,E
Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.40,1.00,0.00,0.73,4.12,"Mar 14, 2006",85,100,59,8.8,78,Ready at Dawn,E10+
The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.62,1.00,0.13,0.37,4.12,"Mar 20, 2006",94,100,90,8.7,938,Bethesda Softworks,M
FIFA Soccer 12,X360,2011,Sports,Electronic Arts,0.80,2.75,0.02,0.52,4.10,"Sep 27, 2011",90,100,69,6.7,290,Electronic Arts,E
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.34,1.94,0.10,0.65,4.03,"Nov 15, 2011",80,100,39,7.5,451,Ubisoft Montreal,M
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.14,1.42,0.04,0.42,4.02,"Nov 15, 2011",80,100,77,7.1,458,Ubisoft Montreal,M
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.32,1.26,0.03,0.40,4.01,"May 29, 2007",90,100,66,8.4,334,Turn 10,E
Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.09,1.44,0.05,0.41,3.98,"Aug 28, 2007",56,100,27,6.1,39,Cat Daddy Games,E
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.10,1.24,0.06,0.54,3.95,"Aug 25, 2009",91,100,70,8.8,748,Rocksteady Studios,T
EA Sports Active,Wii,2009,Sports,Electronic Arts,2.07,1.33,0.06,0.39,3.86,"May 19, 2009",81,100,27,8.8,37,EA Canada,E
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.50,1.58,0.06,0.66,3.80,"Mar  6, 2007",84,100,9,7.3,173,Evolution Studios,T
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.04,1.88,0.41,0.42,3.75,"Jun 11, 2007",68,100,33,6.9,37,Nintendo,E
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.51,0.83,0.05,0.35,3.74,"Nov 17, 2009",89,100,76,8.6,598,Valve Software,M
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,1.92,1.07,0.37,0.37,3.72,"Nov 20, 2011",93,100,81,7.8,1433,Nintendo,E10+
Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.38,1.36,0.10,0.85,3.68,,,,,,,,
FIFA Soccer 14,X360,2013,Sports,Electronic Arts,0.70,2.55,0.00,0.42,3.67,,,,,,,,
LEGO Indiana Jones: The Original Adventures,X360,2008,Adventure,Activision,2.33,0.98,0.00,0.35,3.66,"Jun  3, 2008",77,100,60,7.4,42,Traveller's Tales,E10+
New Super Mario Bros. U,WiiU,2012,Action,Nintendo,1.70,0.68,1.06,0.21,3.64,"Nov 18, 2012",84,100,70,7.9,356,Nintendo,E
Super Paper Mario,Wii,2007,Platform,Nintendo,1.92,0.82,0.59,0.31,3.63,"Apr  9, 2007",85,100,56,7.7,280,Intelligent Systems,E
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2.02,1.05,0.10,0.45,3.61,"Sep  7, 2010",76,100,64,8.0,86,"SCEA, Zindagi Games",E10+
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.63,1.20,0.00,0.77,3.60,"Jun 27, 2005",74,100,34,8.7,28,Rockstar Leeds,E10+
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.10,1.78,0.27,0.45,3.59,,,,,,,,
Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.30,0.94,0.00,0.34,3.59,"Oct 26, 2008",86,100,18,7.6,67,Vicarious Visions,T
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2.28,0.97,0.04,0.28,3.56,"Oct 19, 2010",84,100,81,8.0,558,Obsidian Entertainment,M
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.57,2.43,0.05,0.51,3.55,"Oct 20, 2009",91,100,56,7.6,167,EA Sports,E
MineCraft,X360,2013,Adventure,Microsoft Game Studios,2.16,1.04,0.02,0.28,3.49,"May  9, 2012",82,100,63,7.3,349,"4J Studios, Mojang AB",E10+
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.68,2.38,0.02,0.40,3.48,"Sep 28, 2010",88,100,66,7.4,130,EA Sports,E
Luigi's Mansion: Dark Moon,3DS,2013,Adventure,Nintendo,1.32,0.96,1.02,0.17,3.47,"Mar 24, 2013",86,100,74,8.6,276,Next Level Games,E
Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.58,0.47,0.05,0.29,3.39,"Nov 17, 2008",89,100,67,7.9,1245,Certain Affinity,M
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,2.03,0.98,0.04,0.31,3.37,"Mar  2, 2010",88,100,75,8.7,789,EA DICE,M
Resident Evil 5,X360,2009,Action,Capcom,2.02,0.90,0.12,0.33,3.37,"Mar 13, 2009",83,100,91,7.5,403,Capcom,M
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,1.78,1.02,0.07,0.47,3.34,"Oct 28, 2008",90,100,57,8.0,652,Bethesda Game Studios,M
Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.33,1.03,0.70,0.23,3.30,,,,,,,,
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,1.60,0.90,0.57,0.22,3.29,,,,,,,,
Monster Hunter 4,3DS,N/A,Role-Playing,Capcom,0.00,0.00,3.28,0.00,3.28,,,,,,,,
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2.69,0.33,0.03,0.21,3.27,"Nov 16, 2010",89,100,81,8.3,542,Ubisoft Montreal,M
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.02,0.90,0.02,0.28,3.23,"Aug 25, 2009",92,100,78,8.7,862,Rocksteady Studios,T
Borderlands,X360,2009,Shooter,Take-Two Interactive,2.24,0.68,0.03,0.27,3.23,"Oct 20, 2009",84,100,83,8.3,612,Gearbox Software,M
Wii Music,Wii,2008,Misc,Nintendo,1.34,1.09,0.46,0.32,3.21,"Oct 20, 2008",63,100,43,4.5,102,Nintendo,E
LEGO Batman: The Videogame,X360,2008,Adventure,Warner Bros. Interactive Entertainment,1.90,0.95,0.00,0.30,3.15,"Sep 23, 2008",76,100,49,7.7,52,Traveller's Tales,E10+
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,1.45,0.99,0.04,0.65,3.13,"Mar  4, 2008",91,100,79,8.8,439,Ready at Dawn,M
Gran Turismo (PSP),PSP,2009,Racing,Sony Computer Entertainment,0.45,1.53,0.31,0.83,3.12,,,,,,,,
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,1.32,0.57,0.80,0.41,3.10,"Mar 24, 2008",83,100,67,8.6,310,Square Enix,T
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,1.69,0.95,0.06,0.39,3.09,"Jan 18, 2011",91,100,86,8.3,482,Media Molecule,E
Dance Central,X360,2010,Misc,MTV Games,2.04,0.74,0.01,0.24,3.02,"Nov  4, 2010",82,100,63,7.5,72,Harmonix Music Systems,T
Kung Fu Panda,X360,2008,Platform,Activision,1.90,0.83,0.00,0.29,3.02,"Jun  3, 2008",75,100,42,7.6,23,"Luxoflux, Inc.",E10+
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.95,0.77,0.03,0.27,3.02,"Jan 26, 2010",96,100,98,8.9,2776,BioWare,M
Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,1.38,1.03,0.08,0.45,2.95,"Feb 27, 2009",91,100,94,8.1,1293,Guerrilla,M
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,1.58,0.81,0.14,0.38,2.91,"Mar 20, 2007",93,100,45,7.9,474,4J Studios,M
Disney Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,1.99,0.59,0.12,0.21,2.91,"Nov 30, 2010",73,100,78,6.8,112,Junction Point,E
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,1.18,1.17,0.11,0.44,2.90,"May 17, 2011",89,100,78,7.5,780,Team Bondi,M
Sega Superstars Tennis,X360,2008,Sports,Sega,1.74,0.85,0.00,0.28,2.87,"Mar 18, 2008",67,100,45,6.4,13,Sumo Digital,E10+
Cooking Mama: Cook Off,Wii,2007,Simulation,505 Games,1.40,1.11,0.05,0.30,2.86,"Mar 20, 2007",61,100,37,5.3,23,OfficeCreate,E
Saints Row 2,X360,2008,Action,THQ,1.81,0.77,0.02,0.26,2.86,"Oct 14, 2008",81,100,75,8.1,272,Volition Inc.,M
Just Dance 2014,Wii,2013,Misc,Ubisoft,1.54,1.07,0.00,0.25,2.86,"Oct  8, 2013",,,,5.1,7,Ubisoft,E10+
WarioWare: Smooth Moves,Wii,2006,Puzzle,Nintendo,0.85,1.02,0.73,0.25,2.85,"Jan 15, 2007",83,100,61,7.2,153,Intelligent Systems,E10+
Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,1.83,0.77,0.03,0.22,2.85,"Mar  6, 2012",93,100,74,5.6,3430,BioWare,M
LEGO Batman: The Videogame,Wii,N/A,Adventure,Warner Bros. Interactive Entertainment,1.69,0.88,0.00,0.27,2.84,"Sep 23, 2008",74,100,17,7.8,18,Traveller's Tales,E10+
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts,1.28,1.06,0.08,0.42,2.84,"Mar  2, 2010",88,100,59,8.6,476,EA DICE,M
NBA 2K13,X360,2012,Action,Take-Two Interactive,2.46,0.18,0.01,0.17,2.82,"Oct  2, 2012",88,100,41,7.3,111,Visual Concepts,E
Mass Effect,X360,2007,Role-Playing,Microsoft Game Studios,1.78,0.75,0.03,0.26,2.82,"Nov 20, 2007",91,100,74,8.7,1444,BioWare,M
Nintendo Land,WiiU,2012,Action,Nintendo,1.58,0.64,0.39,0.20,2.81,"Nov 18, 2012",77,100,61,7.7,280,Nintendo,E10+
Madden NFL 10,X360,2009,Sports,Electronic Arts,2.50,0.09,0.00,0.22,2.80,"Aug 14, 2009",85,100,58,6.1,87,EA Tiburon,E
Mario Party 9,Wii,2012,Misc,Nintendo,0.97,0.85,0.72,0.20,2.74,"Mar 11, 2012",73,100,45,6.6,84,Nd Cube,E
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,1.20,1.05,0.06,0.42,2.73,"Feb 23, 2010",87,100,107,7.4,2179,Quantic Dream,M
inFAMOUS,PS3,2009,Action,Sony Computer Entertainment,1.65,0.63,0.12,0.33,2.72,"May 26, 2009",85,100,98,8.4,871,Sucker Punch,T
Madden NFL 13,X360,2012,Sports,Electronic Arts,2.43,0.13,0.00,0.16,2.72,"Aug 28, 2012",81,100,36,5.8,171,EA Tiburon,E
Far Cry 3,X360,2012,Shooter,Ubisoft,1.23,1.21,0.02,0.25,2.72,"Dec  4, 2012",91,100,39,8.5,982,Ubisoft Montreal,M
BioShock,X360,2007,Shooter,Take-Two Interactive,1.58,0.83,0.05,0.27,2.72,"Aug 21, 2007",96,100,88,8.8,1893,"Irrational Games, 2K Marin",M
Medal of Honor,PS3,2010,Shooter,Electronic Arts,1.24,1.00,0.07,0.40,2.71,"Oct 12, 2010",75,100,56,7.6,235,"Danger Close, EA DICE",M
Resident Evil 6,PS3,2012,Action,Capcom,0.76,0.82,0.88,0.25,2.71,"Oct  2, 2012",74,100,34,5.2,1088,Capcom,M
