name,platform,release year,genre,publisher,north america sales,europe sales,japan sales,rest of world sales,global_sales,release_date,critic_score,critic outof,critic count,user score,user count,developer,rating
Cocoto Kart Racer,Wii,2008,Racing,Conspiracy Entertainment,0.06,0.00,0.00,0.00,0.06,"Jun 24, 2008",,,,tbd,,Neko Entertainment,E
Game Party: Champions,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.04,0.01,0.00,0.00,0.06,"Nov 18, 2012",24,100,8,2.5,15,"Phosphor Games Studio, LLC",E
Disgaea Infinite,PSP,2010,Adventure,Nippon Ichi Software,0.05,0.00,0.01,0.00,0.06,"Jun  8, 2010",64,100,15,4.0,37,Nippon Ichi Software,T
Ragnarok: Hikari to Yami no Koujo,PSP,2011,Role-Playing,GungHo,0.01,0.00,0.05,0.00,0.06,,,,,,,,
Build-A-Bear Workshop: Friendship Valley,Wii,N/A,Misc,Unknown,0.06,0.00,0.00,0.00,0.06,"Mar 23, 2010",,,,tbd,,Neko Entertainment,E
Pro Yakyuu Spirits 2013,PSV,2013,Sports,Konami Digital Entertainment,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Rio,X360,2011,Misc,THQ,0.03,0.02,0.00,0.01,0.06,"Apr 12, 2011",60,100,16,tbd,,Eurocom Entertainment Software,E10+
MLB Front Office Manager,X360,2009,Sports,Take-Two Interactive,0.06,0.00,0.00,0.00,0.06,"Jan 26, 2009",47,100,13,4.0,9,Blue Castle Games,E
Reader Rabbit 1st Grade,Wii,2010,Misc,Graffiti,0.06,0.00,0.00,0.00,0.06,"May  4, 2010",,,,tbd,,Graffiti Entertainment,E
Crazy Chicken Tales,Wii,2009,Action,Conspiracy Entertainment,0.06,0.00,0.00,0.00,0.06,"Jan 12, 2010",,,,tbd,,Conspiracy Entertainment,E10+
Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,PSP,2010,Action,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Beaterator,PSP,2009,Misc,Take-Two Interactive,0.04,0.01,0.00,0.01,0.06,"Sep 29, 2009",80,100,44,8.2,10,Rockstar Leeds,E
Record of Agarest War,PS3,2007,Role-Playing,Ghostlight,0.00,0.02,0.03,0.01,0.06,"Apr 27, 2010",67,100,7,7.3,26,Compile Heart,T
Back to the Future: The Game,PS3,2011,Adventure,Telltale Games,0.05,0.01,0.00,0.00,0.06,"Oct 25, 2011",66,100,5,6.7,24,Telltale Games,T
ICO,PS3,2011,Adventure,Sony Computer Entertainment,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Prinny: Can I Really Be the Hero?,PSP,2008,Platform,Tecmo Koei,0.01,0.00,0.05,0.00,0.06,"Feb 17, 2009",72,100,45,6.8,32,Nippon Ichi Software,T
Knights Contract,PS3,2011,Action,Namco Bandai Games,0.03,0.02,0.00,0.01,0.06,"Feb 22, 2011",51,100,37,5.5,4,Game Republic,M
Warriors Orochi 3,PSV,2013,Action,Tecmo Koei,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Prinny: Can I Really Be The Hero? (US sales),PSP,N/A,Action,N/A,0.06,0.00,0.00,0.00,0.06,,,,,,,,
Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,PSP,2012,Action,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Power Pro Success Legends,PSP,2010,Sports,Konami Digital Entertainment,0.00,0.00,0.06,0.00,0.06,,,,,,,,
